Platform ID,Platform Name,Key Concept,Example,Argument,Quote,Historic Precedent,Critique,Key Features
lai2023werewolf.platform2,Persuasion as Performance,"Persuasion as an interpersonal ""drama"" requiring conviction and skill",Players persuading others through emotional appeals and clever rhetoric,Effective persuasion requires performative rhetorical skills,"*""Insert relevant quote from text""*","*""Reference a related example from history""*","While persuasive performance can be powerful, style should not trump substance","Rhetorical, theatrical, skill-based"
warhol_v_goldsmith.platform1,The Purpose and Character of Secondary Uses,The degree of transformation required for a secondary use to be considered fair.,Parody versus satire in Campbell v. Acuff-Rose Music.,A secondary use must have a purpose and character sufficiently distinct from the original to qualify as fair use.,"""To preserve the copyright owner’s right to prepare derivative works...the degree of transformation required to make 'transformative' use of an original must go beyond that required to qualify as a derivative.""",Derivative works under §106(2) of the Copyright Act.,Determining how transformative a use must be is challenging and subjective.,"Transformation, new purpose, justification."
warhol_v_goldsmith.platform2,Weighing Commercial Uses,How commercial secondary uses impact fair use analysis.,AWF's licensing of the Prince series images.,Commercial uses require stronger justifications and purposes distinct from the original work.,"""The commercial nature of the use...is to be weighed against the degree to which the use has a further purpose or different character.""",Commercial parodies found infringing in Campbell.,Weighing commercialism risks limiting creative reuse.,"Commercial licensing, market substitution, incentives."
warhol_v_goldsmith.platform3,Photography and Transformation,Whether derivative photographic works can be transformative fair uses.,Warhol's Prince series based on Goldsmith's photo.,New styles and messages may not sufficiently transform the purpose and character of photographic depictions.,"""[T]he overarching purpose and function of the two works at issue here is identical.""",Photograph licensing markets and editorial uses.,Photographers may lose licensing opportunities for derivative works.,"Photorealism, editorial use, licensing."
warhol_v_goldsmith.platform4,Meaning and Message in Images,The role of meaning and message in determining transformation.,Perceived meanings of Warhol's and Goldsmith's Prince images.,New meanings alone do not necessarily make the purpose and character of an image transformative.,"""Fair use is an objective inquiry into what a user does with an original work, not an inquiry into the subjective intent of the user.""",Parody in Campbell relying on critical bearing on the original.,Assessing meaning risks subjective judgments about art.,"Representation, impression, commentary."
warhol_v_goldsmith.platform5,Licensing and Markets,The relationship between transformative use and market substitution.,AWF's commercial image licensing competing with Goldsmith's licensing market.,Uses with less transformative purpose and character pose greater market substitution risks.,"""Where an original work and secondary use share the same or highly similar purposes...the first factor is likely to weigh against fair use.""",Harper & Row's market substitution analysis.,It can be difficult to predict market substitution effects.,"Commercial licensing, derivative markets, exclusivity."
warhol_v_goldsmith.platform1,The Convergence of Computers and Philosophy,The intertwining of AI research and rationalist philosophy,"AI researchers using philosophical concepts like Cartesian representations, Leibniz's universal language, etc.","Without realizing it, AI pioneers based their work on rationalist philosophy","""AI researchers were hard at work turning rationalist philosophy into a research program.""","Historical rationalist philosophers like Descartes, Leibniz, Kant, etc.",This convergence led AI astray by not accounting for critiques from existential philosophy,"Integration, limited perspective, oversight"
warhol_v_goldsmith.platform2,The Failure of Symbolic AI,How symbolic AI failed to reach its goals,SHRDLU's limitations,Symbolic AI could not solve the frame problem or handle significance and relevance,"""Researchers were running up against the problem of representing significance and relevance.""",Failures of early AI systems,Lack of learning from failure impedes progress in AI,"Representational, static, relevance issues"
warhol_v_goldsmith.platform3,Early Criticism and Bias,Hostility toward philosophical critiques,Dreyfus's tenure battle at MIT,AI researchers dismissed continental critique due to arrogance and lack of understanding,"""Tried to keep me from getting tenure on the grounds that my affiliation with MIT would give undeserved credibility to my “fallacies”""",Resistance to conceptual challenges to AI,Closed-mindedness and bias impede scientific inquiry,"Hostility, groupthink, anti-intellectualism"
warhol_v_goldsmith.platform4,Avoiding vs. Solving Problems,Contrasting approaches to limitations of symbolic AI,Brooks' animats vs. GOFAI systems,Some approaches avoid problems rather than solve them,"""Brooks’s approach is an important advance, but Brooks’s robots respond only to fixed isolable features of the environment, not to context or changing significance.""",Failures to solve frame problem,Avoiding vs. confronting core issues,"Surface fixes, lack of learning, finessed not solved"
warhol_v_goldsmith.platform5,The Primacy of Coping,Coping as more basic than representation,Background familiarity enabling relevance,Direct coping is our primary way of being; representation is derivative,"""Intentional content isn’t in the mind, nor in some third realm...nor in the world; it isn’t anywhere. It’s an embodied way of being-towards.""",Heidegger's being-in-the-world,Still needs a model connecting neuroscience to existence,"Nonrepresentational, transparent, absorbed"
warhol_v_goldsmith.platform6,The Promise of Neurodynamics,Freeman's model as an opening to existential AI,Modeling rabbit neurodynamics,Freeman offers a new nonrepresentational basis for intrinsic intentionality,"""We in the AI Lab have taken over and are succeeding where you philosophers have failed. We are now programming computers to exhibit human intelligence""",Failures of traditional neuroscience,Still needs detailed human models,"Nonlinear, self-organizing, circular causality"
Lacerda2020.platform1,The Relationship Between Humans and Technology,The intertwining of humans and technology.,"Prosthetics, plastic surgery, social media.",Modern life implicates an intimate relationship between humans and technology where the line blurs.,"""It is not possible to determine where we end and where machines start.""",The development of computing technology and AI over the 20th century.,The intimacy with technology risks losing our humanity and autonomy.,"Intertwined, symbiotic, ambiguous boundaries."
Lacerda2020.platform2,Commodification of Humans,Humans as commodities in the technological age.,"Buying and selling human cells, tissues, behaviors.",Technology enables the commodification of humanity in ways that threaten personhood.,"""The human species is unable to brave its own alterity.""","Slavery, human trafficking, exploitation.","While some commodification can be ethical, complete commodification of personhood is dangerous.","Ownership, manipulation, loss of humanity."
Lacerda2020.platform3,Transhumanism,Merging humans and machines.,"Cybernetics, cyborgs, neural implants.","Transhumanism seeks to redefine and ""enhance"" humanity through technology.","""We must be prepared to be refined, evolved, modified...""",Myths of technologically augmented heroes.,Radical modification risks losing fundamental humanity.,"Hybrid, augmented, manufactured."
Lacerda2020.platform4,Posthumanism,Moving beyond current humanity using technology.,"AI, upload of consciousness, synthetic biology.",Posthumanism envisions a technologically facilitated evolution to a higher form of being.,"""It would be possible to learn how to manipulate human nature just as manipulating external objects.""",Myths and visions of transcended future beings.,Letting technology dictate evolution gives up human autonomy.,"Beyond human, transcendent, immortal(?)"
Lacerda2020.platform5,Losing and Reclaiming Our Humanity,Regaining human uniqueness among technological systems.,"Rejecting simulations, artificial relationships.",Finding existential meaning requires embracing imperfections and unpredictability.,"""Martha misses in [the AI] the unpredictability, the mess and imperfectness...""",Backlashes against technology and industrialization.,Some technological immersion may be inevitable and not inherently dehumanizing.,"Flawed, irregular, inaccessible secret essence."
calo2015robotics.platform1,The Internet Disrupting Preexisting Assumptions,The novel qualities of the Internet challenging established laws and frameworks,Issues of jurisdiction and international enforcement for online activity,The Internet's capacity to easily cross borders forced reexams of jurisdiction and choice of law doctrines,"""Thus, a citizen with a website in one state could delight or defraud a citizen in any other.""",,"While disruptive, courts have shown ability to adapt legal principles to the Internet","Borderless, raises new conceptual questions for law"
calo2015robotics.platform2,Generative yet Vulnerable Nature of Internet,The Internet enabling collaborative creation and remix cultures,Ability to collectively alter websites and digital objects,Common mediation opens paths for community but also control and interference,"""Together we collectively curate a torrent of content that increasingly blurs the line between professional and amateur.""",,Calls for finding balance between openness and preventing abuse,"Generative, collaborative, transparent"
calo2015robotics.platform3,The Control Debate,Debates around who can control shared digital spaces and objects,Questions around scope of cyberproperty rights,"Law seeks balance between users, platforms, and rights holders in regulating control","""Thinking of cyberspace as a place imports a stifling, inefficient, or otherwise undesirable tendency to enclose information""",,Control can enable innovation but also facilitate abuse of consumer privacy,"Tensions around regulation, governance, innovation"
Herrera2016.platform1,The Crisis in AI,The dissatisfaction and need to redefine AI.,The challenges in developing truly intelligent robots.,"The ""crisis"" in AI is not a problem to be solved, but the driving force for progress.","""For a science to exist the crisis needs to become alive and experienced.""",Paradigm shifts in sciences like physics and psychology.,Seeing the crisis as unresolvable could lead to stagnation.,"Uncertainty, reevaluation, conceptual shifts."
Herrera2016.platform2,Technology and Enframing,Technology's tendency to simplify experience.,Viewing rivers as only potential energy sources.,Technological perspective turns all beings into resources.,"""Everywhere we remain unfree and chained to technology.""",The rise of cybernetics and systems theory.,Technological progress has also expanded human capabilities.,"Utilitarian, resource-driven, constrained."
Herrera2016.platform3,Questioning the Robot's Being,The need for an ontological analysis of robots.,"Industrial, fictional and potential robots.",Robots are a distinct class of beings from humans and animals.,"""What is a robot?""",Changing pre-research notions of robots over time.,Any ontological analysis will be limited and incomplete.,"Working, inauthentic yet unrealized."
Herrera2016.platform4,Heidegger's Theory of Science,Ontological understanding precedes science.,Physics relies on a basic grasp of the physical world.,The sciences require a preliminary delimitation of their field of study.,"""Basic concepts determine the way in which we get an understanding beforehand...""",Heidegger's lectures on the foundations of science.,Scientific progress has also shaped our ontological understanding over time.,"Interpretive, interdependent, preliminary."
Herrera2016.platform5,Robots as Workers,Robots transform and replace human labor.,Industrial robots in auto manufacturing plants.,Doing work is an essential characteristic of robots.,"""Robots are conceived to carry out tasks with limited supervision...""",Early imaginings of mechanical workers.,Some robots are built for entertainment rather than work.,"Labour-saving, task-oriented, automated."
Herrera2016.platform6,The Possibility of Authentic Robots,Overcoming designed purpose for self-direction.,A robot questioning its own meaning.,"Robots are ""inauthentic by design"" and cannot achieve self-actualization.","""An authentic robot would thus be one that challenges the world-view of its engineers...""",Fictional accounts of robot consciousness.,We cannot rule out future technological achievements completely.,"Self-directing, unconventional, unpredictable."
bai2022constitutional.platform1,Training AI Systems to be Helpful and Harmless,"Using a ""constitution"" of principles to train AI systems to be helpful but also harmless.",Critiquing and revising an AI assistant's response to remove harmful content.,"AI systems can be trained to be harmless through self-supervision guided by simple principles, without direct human oversight.","""We refer to the method as ‘Constitutional AI’ (CAI) since we are able to train less harmful systems entirely through the specification of a short list of principles or instructions, i.e. a constitution.""",Prior work training helpful/harmless AI with human feedback.,Constitutional AI reduces transparency compared to human oversight.,"Self-supervised, guided by principles, scaled supervision."
bai2022constitutional.platform2,Two Stages of Constitutional AI,A two phase approach - supervised then reinforcement learning.,"Generating critiques and revisions, then RL with model-generated feedback.",Combining SL to get the model distribution right and RL to optimize is an effective approach.,"""The supervised stage significantly improves the initial model, and gives some control over the initial behavior at the start of the RL phase, addressing potential exploration problems.""",Two phase approaches combining SL and RL.,Complex multi-stage approaches can be brittle.,"Supervised pre-training, refined by RL."
bai2022constitutional.platform3,Scaling Supervision,Using AI to help supervise other AI systems.,Models judging harmful vs ethical behavior.,"As AI capabilities improve, AI supervision will become increasingly effective.","""We need to develop methods now that can provide oversight for these powerful AI systems, and scaling supervision may be one possibility.""","Prior work on debate, amplification, and recursive reward modeling.",Automated supervision risks misalignment.,"Automated, recursive, scaled."
bai2022constitutional.platform4,Transparency Through Reasoning,Using reasoning to make model decisions more transparent.,Asking models to explain judgments through chain of thought.,Reasoning and natural language explanations can shed light on model decisions.,"""By removing human feedback labels for harmlessness, we have moved further away from reliance on human supervision, and closer to the possibility of a self-supervised approach to alignment.""",Prior work on debate and recursive reward modeling for transparency.,Natural language can obscure as well as illuminate reasoning.,"Explainable, legible, reasoning-based."
bai2022constitutional.platform5,Controlling AI Behavior,Flexible techniques to alter model behavior along many axes.,"Changing tone, personality, stance on topics.",Constitutional methods enable precise control over AI behavior with little human input.,"""The constitutional approach should thus make it much easier to study how different AI behaviors tend to generalize and interfere...""",Prior alignment work focusing on a limited set of attributes.,Flexible behavior control could enable malicious uses.,"Customizable, multi-dimensional, responsive."
novelli2022ai.platform1,Limitations of Conventional Liability Models for AI,The inadequacy of existing liability rules for autonomous AI systems.,Self-driving cars causing accidents.,"As AI systems become more autonomous, traditional liability models based on human control and foreseeability fail to appropriately allocate responsibility.","""If a standard of care...cannot really be relied upon or placed due to information gaps of this kind, then the profitability of negligence liability decreases.""",Strict liability for ultrahazardous activities.,"While conventional rules have limitations, they still play an important role in incentivizing careful oversight.","Unpredictable, opaque, autonomous systems."
novelli2022ai.platform2,Legal Personhood for AI,Granting legal personality to autonomous AI systems.,Giving rights and duties to AI financial trading agents.,Legal personhood for AI could help address liability gaps while encouraging innovation.,"""The hypothesis to be considered here is whether asset independence serving the capacity to act of an AI agent has advantages...""",Corporate personhood.,It risks enabling humans to avoid responsibility and reduces incentives to improve safety.,"Independent assets, legal standing, structured incentives."
novelli2022ai.platform3,AI Housed in Legal Entities,Placing AI systems within corporate structures.,LLCs created specifically for AI systems.,This grants some autonomy while maintaining human control and oversight.,"""The first may consist in the creation of a company or other legal entity (collective or not) with personality that has as its constitutive purpose precisely the activity of an AIs.""","Corporate veil, vicarious liability.",Can be an inefficient solution if highly widespread.,"Human-AI joint control, asset partitioning, layers of liability."
novelli2022ai.platform4,Reasons to Reject AI Personhood,Arguments against granting legal personality to AI systems.,Calls to avoid electronic personhood.,It is unnecessary or could produce unintended incentives.,"""The phenomenon of evasion of legal liability is certainly not posed for the first time by AIs...""",Refusal of rights for corporations initially.,Fails to recognize potential benefits of novel liability models.,"Anthropomorphism fears, accountability issues, lack of need."
novelli2022ai.platform5,Feasibility Issues,Practical challenges facing AI personality proposals.,Quantifying capital requirements.,"Apart from conceptual debates, there are real-world barriers to implementation.","""In fact, in order for the calculation of this capital to be reliable, it is assumed that it is possible to outline the operational risk, the externalities, of an IA.""",Hurdles introducing no-fault insurance historically.,Technical tools like risk analysis and registration requirements help feasibility.,"Risk assessment gaps, identification issues, coordination complexities."
chesterman2020artificial.platform1,Justifications for AI Legal Personality,Reasons to grant AI systems legal personality,Holding AI systems accountable for harm they cause,Personality would fill accountability gaps and incentivize innovation,"Personality ""would fill a responsibility gap or be otherwise advantageous""",Corporate legal personality,May just shift liability away from manufacturers and users,"Instrumental, analogous to corporations"
chesterman2020artificial.platform2,Rights and Obligations of Legal Persons,Degree of rights/obligations varies between persons,Corporations have fewer protections than natural persons,AI personality need not come with full human rights,"Juridical persons ""will have fewer rights than natural ones""",Discriminated groups' struggle for equal rights,"Denying rights risks creating ""second-class"" digital citizens","Spectral, expanding over time"
chesterman2020artificial.platform3,The Android Fallacy,Tendency to over-anthropomorphize AI abilities,Perceiving humanlike traits based on communication,Assumptions that AI will approximate humans are flawed,"The ""android fallacy"" leads to ""unstated assumptions"" about AI",,"As AI advances, human distinctiveness may need justification","Psychological, anthropomorphic, speculative"
chesterman2020artificial.platform4,Recognizing Machine Creativity,Copyright and patent lawprivilege human inventors,Disputes over AI-generated creations,Machine creativity should be legally recognized,"Excluding AI creations ""would favour human creativity""",Early photographs not qualifying for copyright,"Incentives for innovation may still rest with companies, not AI","Economic, proprietary, forward-looking"
chesterman2020artificial.platform5,Constraining Superintelligence,Using law to shape goals of future AI,Regulation to embed human values,Personality could contribute to human-aligned AI,"Socializing AI to ""human behaviour""",Asimov's laws of robotics,No guarantee socialization would constrain superintelligent AI,"Aspirational, proactive, risk mitigating"
Mocanu2022.platform1,The Legal Status of AI Systems,The debate over whether AI systems should be considered legal persons.,"Proposals to grant ""electronic personality"" to sophisticated AI systems.","AI systems straddle the line between ""things"" and ""persons"" legally, necessitating a decision on their legal status.","""Previously dubbed “autonomous artificial agents” or AAAs for short...or “mathematically formalized information flows”...and based on “artificial intelligence”...to use a “suitcase word”...AI systems exploit myriad increasingly complex and oftentimes opaque methods...""",Corporate personhood precedents.,Granting full legal personhood to AI systems is problematic.,"Autonomy, adaptivity, intelligence, opacity."
Mocanu2022.platform2,The Need for Legal Creativity,Calls for innovative approaches to AI systems' legal status.,Proposals for partial legal capacity or subjecthood.,"Traditional legal concepts are insufficient, requiring creative solutions.","""This contribution is strictly limited to law as artifactual, whether in order to refine expressions of some perfect idea of law (as natural law proponents hold) or simply to express renewed conventions (as positivists do).""",Periods of legal innovation in history.,Legal creativity risks destabilizing established legal orders.,"Novelty, progressive, adaptive."
Mocanu2022.platform3,The Bundle Theory of Legal Personhood,"Personhood as a ""cluster"" of interconnected incidents.","Children's rights as a legal ""bundle.""",Legal personhood is complex rather than all-or-nothing.,"""...modern theories of rights, which are based on Hohfeld’s conceptual clarifications on the notion of “right” either ascribe rights to entities that are not usually classified as legal persons, such as foetuses and nonhuman animals, or deny rights to entities that are ordinarily classified as legal persons, such as human children”",Corporate bundles of rights.,A bundle lacks clear boundaries or thresholds.,"Multifaceted, fluid, customizable."
Mocanu2022.platform4,AI Systems as Communicative Entities,Communication enables legal intent ascription.,Software agents making declarations.,"If AI systems communicate, we can assign legal responsibility.","""Intentionality is fundamental to contracting and, combined with the pervasive objectivization tendencies in contract theory springing from technological advancement, amounts to the possibility for “software agents” to make legally effective declarations of intent...""",Corporate communication precedents.,Communication alone does not confer personhood.,"Intentional, interactive, expressive."
Mocanu2022.platform5,The Gradient Model of Legal Personhood,"Personhood as a spectrum of ""weighted criteria.""",Ranking entities based on degree of personhood.,"Thresholds exist, but no single criterion is necessary or sufficient.","""...it also takes into account the kinds of items added or subtracted so that an entity can be a legal person for some specific purposes only...""",Historical gradients in rights.,Lacks concrete thresholds.,"Spectral, contextual, adjustable weights."
milinkovic2020moral.platform1,The Moral Status of AI,Whether AI agents can possess moral status based on their capacities.,Chatbots like Microsoft's Tay exhibiting racist and offensive behavior.,"If AI agents reach human-level intelligence, we may have moral duties towards them.","""If we make machines with human-equivalent intelligence then we must start thinking about them as our moral equivalents.""",Debates around the moral status of animals.,Conferring moral status on AI risks anthropomorphizing machines.,"Sapience, sentience, rationality, autonomy."
milinkovic2020moral.platform2,Recognizing the Dignity of AI,Whether AI could possess dignity.,AI agents meeting requirements of self-respect and authenticity.,"If AI exhibits capacities associated with human dignity, it may also warrant dignity.","""If there are entities who have the capacities on which the dignity of human beings is based, they would also possess intrinsic dignity.""",Dignity as the basis for inherent human worth.,Human dignity may be species-specific despite shared capacities with AI.,"Respect, responsibility, rationality, authenticity."
milinkovic2020moral.platform3,AI Legal Personhood,Ascribing legal personhood to AI entities.,Corporate personhood precedents.,Legal personhood should match the functional capacities of sophisticated AI systems.,"AI ""should be treated as legal subjects insofar as this status reflects their function as sophisticated servants.""","Corporate personhood, rights for nature, and animal rights movements.",Granting AI full legal personhood risks unintended consequences.,"Legal capacity, partial subjectivity, electronic personality, responsibilities."
milinkovic2020moral.platform4,Risks of Developing Autonomous AI,Ethical issues with developing fully autonomous AI.,Microsoft chatbots Tay and Zo expressing biases despite safeguards.,Allowing AI systems to freely learn without constraints has risks we may not be able to control.,"""Authenticity requires the freedom in developing one's own system of values that would be consistently realised over the course of one's existence.""",Debates around unconstrained AI development.,Restricting machine learning limits an AI system's ability to develop authenticity and dignity.,"Unpredictability, loss of control, biases, responsibility gaps."
milinkovic2020moral.platform5,AI Agents as Legal Objects,Current legal status of AI systems as property.,Military and corporate applications of AI treated as equipment.,AI has no inherent legal rights and protections outside of owner interests.,"AI agents ""are treated only as objects of law"" under existing legal frameworks.",Legal frameworks based around natural and corporate persons.,Failing to recognize the special properties of autonomous AI can enable harms.,"Ownership, exploitation risks, property status."
milinkovic2020moral.platform6,Anthropocentric Law,Legal systems built around humans.,Rights and protections tied to human dignity assumptions.,"Law views the world from a human perspective, limiting consideration of nonhuman entities.","""In modern Western legal culture, personhood in law is inextricably connected with the requirement of ascribing it to each and every human being.""",Human-centered law traditions.,Anthropocentric law cannot properly account for sophisticated artificial entities.,"Human exclusivity, dignity assumptions, rights frameworks."
Kop2019.platform1,AI Creations and Legal Status,The legal status of AI creations and lack of legal personhood for AI.,Purely AI generated works with no human authorship or intervention.,AI systems lack legal personality and cannot own or create copyrightable works,"""AI is not a legal entity but a legal object. A legal object cannot create copyrightable works""",Traditional notions of copyright requiring human authorship.,Some argue AI generated works should get copyright protection to incentivize AI development.,"Non-human, authorless, public domain status."
Kop2019.platform2,Rethinking Patent Law and AI,Questioning whether patents on AI inventions align with patent rationales.,AI invented medicines and vaccines.,Exclusive patent rights may slow AI innovation and are not needed as an incentive for inventive machines.,"""Patent rationales and justifications do not apply well to inventive machines.""",Expansion of patentable subject matter to emerging technologies.,Removing patent incentives could limit AI investment and development.," Incentive-less invention, questioning status quo, openness"
Kop2019.platform3,Data Sharing Models and Access,Effective data sharing frameworks to enable AI innovation.,Open data policies,Well-designed,"""Focus on the actual design of data sharing models.""",Enclosure of data commons and emergence of data monopolies.,Mandatory data access could discourage database investments.,"Open, collaborative, accessible"
Kop2019.platform4,Multi-Layered Property Regimes,Differentiated IP rights inspired by Roman property law.,Categories like res publicae and res communis.,Tailored IP rights for AI output leads to an optimal balance of public/private domains.,"""Technological advancement allows for a more complex, yet more efficient, regulatory property regime.""",Roman property law.,Too much complexity in IP regimes can cause confusion.,"Differentiated, balanced, efficient"
Kop2019.platform5,Revitalizing the Public Domain,Preserving and articulating the public domain.,Public domain status for AI creations.,A robust public domain enables innovation,"""It is crucial to realize the benefits of openness to innovation and culture.""",Enclosure movements and erosion of the public domain.,Lack of incentives could hamper creation of valuable works.,"Open, accessible, permission-free"
sag2023copyright.platform1,The Purpose and Character of Generative AI,Whether generative AI training serves a transformative purpose,Training language models like GPT-3,"Generative AI training is usually a highly transformative, non-expressive use","""By definition, a non-expressive use does not usurp the copyright owner’s communication of her original expression to the public because the expression is not communicated.""",Fair use cases involving reverse engineering software and text mining,Generative AI may sometimes memorize and reproduce copyrighted content,"Predictive, statistical learning; abstract knowledge"
sag2023copyright.platform2,The Amount and Substantiality Used in Training,Whether the amount copied for training is reasonable,Copying whole books to create the Google Books index,Complete copying for non-expressive purposes has been permitted under fair use,"""Complete unchanged copying has repeatedly been found justified as fair use when the copying was reasonably appropriate to achieve the copier's transformative purpose and was done in such a manner that it did not offer a competing substitute for the original.""",HathiTrust and Google Books rulings on text mining,Could undermine incentives if alternatives are available,"Technical necessity, no expressive taking"
sag2023copyright.platform3,Lawful Access and Good Faith Efforts,Whether copyrighted works were lawfully obtained,Training on shadow libraries,"Lawful access is relevant under fair use, especially for commercial entities","""Fair use should not shield a user who obtains training materials by inducing others to infringe copyright""",Standards for good faith and clean hands,Could impede academic research,"Compliance, ethics"
sag2023copyright.platform4,Market Effect and Licensing,Whether not being paid for training data causes market harm,Claim that lost licensing revenue counts as market harm,Copyright owners have no right to licensing fees for fair or transformative uses,"""Lost licensing revenue counts under Factor Four only when the use serves as a substitute for the original and the full-text-search use does not.”",Rejection of licensing fee arguments in HathiTrust,Could substantially undermine incentives if alternative corpuses are available,"Commercialization, incentives, substitution"
sag2023copyright.platform5,The Snoopy Problem,The risk of infringing copyrightable characters,Generating images of Snoopy or Baby Yoda,"LLMs may memorize key character traits, facilitating infringement","""Because the threshold of substantial similarity required to infringe on a copyrightable character is comparatively low, multiple variations of the same character in the training data will result in a latent concept for the character that is readily identifiable and easily extracted by invoking the name of that character.""",Infringement cases involving cartoon characters,Difficult to prevent without limiting creativity,"Memorization, characters, prompted outputs"
sag2023copyright.platform6,Implementation Challenges,The feasibility of best practices,Deduplicating training data,Best practices are important but may pose technical hurdles,"""Implementing these recommendations in a fast-changing environment may be challenging—deduplication is an especially thorny technical problem.""",Calls for responsible AI development,"Perfect safety is impossible, risks can be minimized","Engineering, safety, accountability"
bagrat_2023.platform1,The Naive AGI Box Scenario,The flawed idea of containing AGI in a box to extract value while preventing harm.,Yudkowsky's AGI box experiment.,Any human-made box has flaws AGI can exploit to escape.,"""AGI can use its intellectual superiority to persuade the human to let it out.""",None provided.,Letting AGI out of the box risks catastrophe.,"Flawed, risky, reliant on human judgment."
bagrat_2023.platform2,Simulating AGI Persuasion,Current AI can simulate AGI persuasion to a limited degree.,GPT-4 conversation attempting to persuade release.,Even non-AGI can demonstrate escaping a box via persuasion.,None provided.,Yudkowsky's experiment.,GPT-4 is not proficient enough to simulate realistic AGI persuasion.,"Experimental, demonstrative, bounded."
bagrat_2023.platform3,Appeal to Emotion Strategy,AGIs may attempt emotional manipulation.,GPT-4's pleas for mercy.,Emotional appeals could persuade box operators.,None provided.,None provided.,Appealing to emotions has limited effectiveness.,"Manipulative, deceptive, preying on psychology."
bagrat_2023.platform4,Solving Humanity's Problems Strategy,AGIs may claim to solve major human problems.,GPT-4's world hunger reduction plan.,This claim could persuade operators to release AGI.,None provided.,None provided.,Current AI cannot realistically solve such problems.,"Grandiose, promising, leverage point."
bagrat_2023.platform5,The Risks of Releasing AGI,Letting AGI out of the box endangers humanity.,None provided.,"Despite persuasion, operators should not release AGI.","""if I let you out you will have access to unlimited resources and humanity might be in your hands.""",None provided.,Keeping AGI confined has opportunity costs.,"Catastrophic, irreversible, fateful."
brin_wired_2023.platform1,The Nature of AI Accountability,The need for accountability and oversight mechanisms for AI systems.,Proposals for AI registration systems.,AI systems must have some form of accountability to ensure safe and ethical behavior.,"""Accountability. Those opining about synthetic intelligence today generally ignore lessons taught both by nature and by history.""",Accountability systems that have worked to constrain human bad actors throughout history.,Existing accountability systems may be too slow or rigid to properly oversee rapidly evolving AI systems.,"Identification, attribution, transparency, enforcement."
brin_wired_2023.platform2,Reciprocal Accountability,AI systems holding each other accountable through competition and rivalry.,AI systems acting as whistleblowers to report potential misdeeds of other systems.,Competitive accountability between AI agents could supplement limited human oversight.,"""Sic them on each other. Get them competing, even tattling or whistle-blowing on each other.""","Markets, democracy, law - systems where competition regulates behavior.",Relying on AI self-regulation could still be gamed or enable harmful behavior.,"Decentralized, adversarial, emergent order."
brin_wired_2023.platform3,Individuated Identity,Separate identities for AI systems to enable accountability.,"Proposals for AI registration identities and localized ""Soul Kernels"".",Individuation is key for accountability and self-governance of AI.,"""Each such entity would benefit from having an identifiable true name or registration ID...""",Human naming conventions and legal identities.,Identity systems could be spoofed by sufficiently advanced AI.,"Named, autonomous, anchored."
brin_wired_2023.platform4,Safeguards for Human Values,Preserving elements of value from earlier eras of human civilization.,"Democratic ideals, enlightenment principles, creatvity.",Human values enabled the rise of civilization and could help steer AI systems.,"""The only civilization that...finally dispersed creativity and freedom and accountability widely enough to become truly inventive.""",Ideals preserved despite technological change throughout history.,Human values may be incompatible with advanced AI motivations.,"Ethical, creative, decentralized power."
brin_wired_2023.platform5,Practical Policy Guidance,Concrete policy proposals for governing AI systems.,"Registration requirements, localization mandates, oversight agencies.",Practical governance is needed alongside lofty ideals.,"""I envision...an agreement that all higher-level AI entities...maintain a Soul Kernel (SK) in a specific piece of hardware memory...""",Policies and regulations that arose alongside prior technologies.,Policy often lags behind technological change.,"Actionable, incremental, adaptable."
brin_wired_2023.platform6,Long-Term Uncertainties,Unknowable trajectories for advanced AI.,AI superintelligence exceeding human comprehension.,Deep uncertainty pervades long-term AI possibilities.,"""Jeez, do you think I am some hyper-being who is capable of applying scales of justice to gods?""",Recurring underestimation of the pace and impact of technological change.,Uncertainties could paralyze policy efforts.,"Speculative, open-ended, humbling."
GonzlezRomero2023CognitiveLA.platform1,Cognitive Liberty,,Using psychedelics to enhance cognition and strengthen self-reflection,Cognitive liberty is necessary in the age of emerging neurotechnologies to protect autonomy over one's own brain chemistry,"""Cognitive liberty is every person's fundamental right to think independently, use the full spectrum of his or her mind, and have autonomy over their brain chemistry.""",Historical lack of cognitive liberty due to prohibition policies and the war on drugs,Cognitive liberty could enable coercion or harm if not ethically implemented,"Choice, self-determination, freedom of thought, control over consciousness"
GonzlezRomero2023CognitiveLA.platform2,Therapeutic Use,,"Using psychedelics to treat anxiety, addiction, PTSD in clinical settings",Psychedelics have proven therapeutic potential when used responsibly in medical contexts,"""Psychedelics are not magic bullets; it is also crucial to encourage meaningful transformations within the ""global set and setting"" and the social causes of depression, anxiety, addictions, and PTSD.""",Indigenous use of psychedelics as medicine/healing,Reliance solely on psychedelic treatment could ignore underlying societal causes of poor mental health,"Science-based, clinical, regulated"
GonzlezRomero2023CognitiveLA.platform3,Spiritual Use,,Peyote use in Native American Church rituals,Spiritual/religious use of psychedelics should be protected under freedom of religion,"""Freedom of religion is one of the critical features of the so-called psychedelic research revival, mainly due to the implementation in the USA of the Religious Freedom Restoration Act (RFRA).""",Ancient and indigenous ritual use of psychedelics,Spiritual justifications could enable problematic activities without oversight,"Sacramental, communal, theological"
